id,created,event_type,payload_json,reference_id,status,updated,user
n3cg5wtagltpn3k,2026-08-03 10:28:56.794Z,proposal_remixed,"{""title"": ""Your idea was remixed \ud83d\udca1"", ""body"": ""\""Essen F\u00fcr alle\"" was created from your idea."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/5ts5a0oatsjtetw""}}",ppkkg16jlpylazv_5ts5a0oatsjtetw,pending,2026-08-03 10:28:56.794Z,3e36e627a64bac27
j60ip8hozge2oc7,2026-08-03 10:28:56.865Z,vote_migration,"{""title"": ""Neuer Remix verf\u00fcgbar \ud83c\udf3f"", ""body"": ""Eine neue Version von \""Essen F\u00fcr alle\"" ist verf\u00fcgbar. Vergleiche die \u00c4nderungen."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/5ts5a0oatsjtetw?action=compare""}}",ppkkg16jlpylazv_5ts5a0oatsjtetw,actioned,2026-08-03 12:34:57.794Z,407be8b01d4ce342
dw2y119psgef3ly,2026-08-03 10:36:59.484Z,proposal_remixed,"{""title"": ""Deine Idee wurde geremixt \ud83d\udca1"", ""body"": ""\""Liste erweitern\"" wurde aus deiner Idee erstellt."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/f2zfx98durbtu6y""}}",l5sqzdyfozw6267_f2zfx98durbtu6y,dismissed,2026-08-05 08:58:13.029Z,15e064539716cfbb
s8lzuaed13hnhbo,2026-08-03 10:36:59.490Z,vote_migration,"{""title"": ""Neuer Remix verf\u00fcgbar \ud83c\udf3f"", ""body"": ""Eine neue Version von \""Liste erweitern\"" ist verf\u00fcgbar. Vergleiche die \u00c4nderungen."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/f2zfx98durbtu6y?action=compare""}}",l5sqzdyfozw6267_f2zfx98durbtu6y,actioned,2026-08-03 12:33:33.091Z,407be8b01d4ce342
ybn8axixm020r00,2026-08-03 12:28:23.993Z,proposal_remixed,"{""title"": ""Your idea was remixed \ud83d\udca1"", ""body"": ""\""Untergr\u00fcppchen\"" was created from your idea."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/i6o7tfr2opn951e""}}",ag1c4yqxa4oe2w4_i6o7tfr2opn951e,pending,2026-08-03 12:28:23.993Z,34063db6dedf42bc
5j0dz7v36hc22sd,2026-08-03 17:09:00.018Z,phase_change,"{""title"": ""Bald geschlossen \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" geht in die Abschlussphase. Lege deine Unterst\u00fctzung fest."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,actioned,2026-08-06 13:06:19.883Z,de13859e1d6aea12
7i062mt9l29anft,2026-08-03 17:09:00.020Z,phase_change,"{""title"": ""Bald geschlossen \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" geht in die Abschlussphase. Lege deine Unterst\u00fctzung fest."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,pending,2026-08-03 17:09:00.020Z,2347e60c2ede6045
1iwbhb7xm1egcpt,2026-08-03 17:09:00.022Z,phase_change,"{""title"": ""Bald geschlossen \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" geht in die Abschlussphase. Lege deine Unterst\u00fctzung fest."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,dismissed,2026-08-05 08:58:11.953Z,15e064539716cfbb
neovuf37debjjwg,2026-08-03 17:09:00.024Z,phase_change,"{""title"": ""Closing soon \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" is entering the closing window. Finalize your support."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,pending,2026-08-03 17:09:00.024Z,3e36e627a64bac27
mcp0cp9ypzrvqak,2026-08-03 17:09:00.026Z,phase_change,"{""title"": ""Bald geschlossen \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" geht in die Abschlussphase. Lege deine Unterst\u00fctzung fest."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,pending,2026-08-03 17:09:00.026Z,3928dc02b346700b
dezbgk1rr0dqvtp,2026-08-03 17:09:00.027Z,phase_change,"{""title"": ""Bald geschlossen \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" geht in die Abschlussphase. Lege deine Unterst\u00fctzung fest."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,actioned,2026-08-03 21:00:34.285Z,407be8b01d4ce342
oqgqa0r9j3g8zrk,2026-08-03 17:09:00.028Z,phase_change,"{""title"": ""Closing soon \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" is entering the closing window. Finalize your support."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,pending,2026-08-03 17:09:00.028Z,34063db6dedf42bc
uc9rw5abd2yz87f,2026-08-03 17:09:00.030Z,phase_change,"{""title"": ""Bald geschlossen \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" geht in die Abschlussphase. Lege deine Unterst\u00fctzung fest."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,pending,2026-08-03 17:09:00.030Z,b003312e6c38c8a5
go77snikpyuztsh,2026-08-03 17:09:00.031Z,phase_change,"{""title"": ""Bald geschlossen \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" geht in die Abschlussphase. Lege deine Unterst\u00fctzung fest."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,actioned,2026-08-03 19:06:30.665Z,563eab35510dcae3
mfnnsg23aapm8uz,2026-08-03 17:09:00.033Z,phase_change,"{""title"": ""Bald geschlossen \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" geht in die Abschlussphase. Lege deine Unterst\u00fctzung fest."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,pending,2026-08-03 17:09:00.033Z,cc3304ea9b75a00f
76qsos6cyisrlwj,2026-08-03 17:09:00.035Z,phase_change,"{""title"": ""Closing soon \u23f3"", ""body"": ""\""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" is entering the closing window. Finalize your support."", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing,pending,2026-08-03 17:09:00.035Z,adc82731fb3dc1de
icvdffge8kbxsc8,2026-08-04 17:10:00.064Z,phase_halfway,"{""title"": ""Abschlussphase zur H\u00e4lfte \u23f0"", ""body"": ""Die Abschlussphase f\u00fcr \u201eWie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" ist zur H\u00e4lfte vorbei. Lege jetzt deine Unterst\u00fctzung fest!"", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing_phase_halfway,actioned,2026-08-06 13:06:18.248Z,de13859e1d6aea12
jgcokru07r3dgeo,2026-08-04 17:10:00.067Z,phase_halfway,"{""title"": ""Abschlussphase zur H\u00e4lfte \u23f0"", ""body"": ""Die Abschlussphase f\u00fcr \u201eWie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" ist zur H\u00e4lfte vorbei. Lege jetzt deine Unterst\u00fctzung fest!"", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing_phase_halfway,pending,2026-08-04 17:10:00.067Z,2347e60c2ede6045
cyb5q1j3fajge0n,2026-08-04 17:10:00.069Z,phase_halfway,"{""title"": ""Abschlussphase zur H\u00e4lfte \u23f0"", ""body"": ""Die Abschlussphase f\u00fcr \u201eWie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" ist zur H\u00e4lfte vorbei. Lege jetzt deine Unterst\u00fctzung fest!"", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing_phase_halfway,dismissed,2026-08-05 08:58:13.800Z,15e064539716cfbb
wzgzgn7e0npmr1n,2026-08-04 17:10:00.070Z,phase_halfway,"{""title"": ""Closing window half over \u23f0"", ""body"": ""The closing window for \""Wie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" is half over. Finalize your support now!"", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing_phase_halfway,pending,2026-08-04 17:10:00.070Z,3e36e627a64bac27
qdby22hmkzr68ll,2026-08-04 17:10:00.071Z,phase_halfway,"{""title"": ""Abschlussphase zur H\u00e4lfte \u23f0"", ""body"": ""Die Abschlussphase f\u00fcr \u201eWie finanzieren wir gemeinsame WG-Eink\u00e4ufe fair, wenn alle unterschiedliche Bed\u00fcrfnisse haben?\"" ist zur H\u00e4lfte vorbei. Lege jetzt deine Unterst\u00fctzung fest!"", ""data"": {""url"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}}",0w3z1e5u1y1d83t_Closing_phase_halfway,pending,2026-08-04 17:10:00.071Z,3928dc02b346700b
